Name,Federal sources,State sources,Local sources,Current spending,Capital outlay,Other
Alabama,789954 ,3948651 ,2396500 ,6493448 ,580949 ,138304 
Alaska,352005 ,1507913 ,523484 ,2285517 ,145219 ,52584 
Arizona,1050228 ,2845535 ,3973481 ,7135021 ,699033 ,220608 
Arkansas,666267 ,3823172 ,662172 ,4912815 ,563379 ,137631 
California,8793325 ,36413273 ,21362028 ,58095154 ,6736656 ,2419141 
Colorado,705634 ,3702427 ,4162225 ,7279824 ,697434 ,447099 
Connecticut,509564 ,3735476 ,5622211 ,8762915 ,637389 ,134363 
Delaware,183793 ,1090060 ,541258 ,1689513 ,149584 ,22201 
District of Columbia,137742 ,0 ,1193264 ,905652 ,283890 ,0 
Florida,3068321 ,8702317 ,12361242 ,22788834 ,1837264 ,725949 
Georgia,1862297 ,7455147 ,8238616 ,15572647 ,1566020 ,249147 
Hawaii,318728 ,2161254 ,55056 ,2220637 ,124096 ,0 
Idaho,266087 ,1238989 ,476136 ,1785929 ,69239 ,56538 
Illinois,2430413 ,10142137 ,16580567 ,25211371 ,2032447 ,887390 
Indiana,1096902 ,7462594 ,3583059 ,9851586 ,894450 ,349212 
Iowa,512246 ,2681035 ,2844085 ,5003871 ,900591 ,111882 
Kansas,410051 ,3173205 ,2028862 ,4740356 ,662722 ,203877 
Kentucky,983232 ,3920971 ,2286985 ,6466874 ,764062 ,211725 
Louisiana,1527734 ,3588546 ,3333650 ,7592600 ,777379 ,117333 
Maine,239982 ,1012326 ,1303421 ,2372463 ,131394 ,57280 
Maryland,859635 ,5980541 ,6908016 ,11638908 ,1139120 ,167912 
Massachusetts,979175 ,6200945 ,8440973 ,13911788 ,1159884 ,251257 
Michigan,1866406 ,9796808 ,6007925 ,15735318 ,1200582 ,872508 
Minnesota,740098 ,6642440 ,3144275 ,9054613 ,1034162 ,443814 
Mississippi,795110 ,2195720 ,1475688 ,4022904 ,329375 ,68715 
Missouri,994192 ,4115324 ,4840060 ,8604213 ,891474 ,323168 
Montana,214164 ,761029 ,637172 ,1498829 ,117001 ,16942 
Nebraska,366016 ,1166374 ,2159211 ,3398322 ,374671 ,86901 
Nevada,403548 ,2401035 ,1247821 ,3546300 ,321145 ,240352 
New Hampshire,187243 ,1029325 ,1645446 ,2601337 ,160056 ,45467 
New Jersey,1371038 ,10401941 ,14843386 ,24356836 ,940577 ,366415 
New Mexico,491732 ,2380982 ,605995 ,2928849 ,615427 ,66108 
New York,3769627 ,23314292 ,31673714 ,54584741 ,4094920 ,1242750 
North Carolina,1831015 ,7648102 ,3309542 ,12055354 ,728580 ,577836 
North Dakota,160050 ,658255 ,485795 ,1147943 ,160904 ,19175 
Ohio,2007733 ,9336277 ,10691352 ,19310163 ,2416140 ,774550 
Oklahoma,773014 ,2869071 ,2181033 ,5021707 ,496119 ,57617 
Oregon,550894 ,3038052 ,2486532 ,5536815 ,448562 ,316448 
Pennsylvania,2145208 ,9561500 ,14749185 ,22303920 ,1735626 ,1065574 
Rhode Island,204682 ,779000 ,1211149 ,2094785 ,33633 ,44755 
South Carolina,848254 ,3586738 ,3440152 ,6647434 ,869025 ,407487 
South Dakota,212615 ,395054 ,688684 ,1091980 ,172398 ,28803 
Tennessee,1257953 ,4017946 ,3672734 ,8358768 ,671532 ,199943 
Texas,6140296 ,19801928 ,23872839 ,40353774 ,5538370 ,4162076 
Utah,426702 ,2158049 ,1628475 ,3548527 ,666528 ,112315 
Vermont,124451 ,1372320 ,75457 ,1476846 ,45788 ,12507 
Virginia,1365551 ,5564504 ,7762713 ,13479465 ,1078796 ,349077 
Washington,1057045 ,7001110 ,3809742 ,10127340 ,1552074 ,471085 
West Virginia,432223 ,2014017 ,1512199 ,3270186 ,245082 ,19644 
Wisconsin,907311 ,4786356 ,5168480 ,9648094 ,449246 ,347402 
Wyoming,144728 ,851896 ,663413 ,1439610 ,213245 ,1488 
